humanidad
humano
persona
gente
hombre
mujer
bebé
niño, niña
adolescente
adulto, adulta
anciano, anciana
don, doña
señor, señora
caballero
dama
individuo
cuerpo
pierna
pie
talón
espinilla
rodilla,
muslo,
cabeza,
cara,
boca,
labio,
diente,
ojo,
nariz,
barba,
bigote,
cabello,
oreja,
cerebro,
estómago,
brazo,
codo,
hombro,
uña,
mano,
muñeca,
palma,
dedo,
trasero,
abdomen,
hígado,
músculo,
cuello,
corazón,
mente,
alma,
espíritu,
pecho,
cintura,
cadera,
espalda,
sangre,
carne,
piel,
hueso,
resfriado,
gripe,
diarrea,
salud,
enfermedad,
familia,
colega,
pareja,
matrimonio,
amor,
padre,
madre,
hermano,
hijo,
abuelo,
abuela,
bisabuelo,
nieto, 
nieta,
criatura,
especie,
ser,
vida,
nacimiento,
reproducción,
muerte,
Geografía,
naturaleza,
campo,
bosque,
selva,
jungla,
desierto,
costa,
playa,
río,
lago,
mar, 
océano,
montaña,
luz,
energía,
Animales,
animal,
perro,
gato,
vaca,
cerdo,
caballo,
oveja,
mono,
ratón, 
rata,
tigre,
conejo,
dragón,
ciervo,
rana,
león,
jirafa,
elefante,
pájaro,
gallina,
gorrión,
cuervo,
águila,
halcón,
pez,
camarón,
langosta,
sardina,
atún,
calamar,
pulpo,
insecto,
bicho,
mariposa,
polilla,
saltamontes,
araña,
mosca,
mosquito,
cucaracha,
caracol,
babosa,
lombriz,
marisco,
molusco,
lagarto,
serpiente,
cocodrilo,
alimento,
comida,
bebida,
vegetal,
planta,
pasto, 
césped,
flor,
fruta,
semilla,
árbol,
hoja,
raíz,
tallo,
hongo,
ciruela,
pino,
bambú,
nuez,
almendra,
castaña,
arroz,
avena,
cebada,
trigo,
verdura,
patatas, 
papas,
judías,
guisantes,
rábano,
zanahoria,
manzana,
naranja,
plátano,
pera,
castaño,
durazno,
tomate,
sandía,
carne,
gaseosa,
tiempo,
calendario,
edad,
época, 
era,
fecha,
instante,
momento,
segundo,
minuto,
hora,
día,
semana,
mes,
año,
década,
siglo,
milenio,
ayer,
hoy,
mañana,
amanecer,
mediodía,
tarde,
anochecer,
noche,
lunes,
martes,
miércoles,
jueves,
viernes,
sábado,
domingo,
ambiente,
espacio,
entorno,
área,
superficie,
volumen,
región,
zona,
lado,
mundo,
planeta,
sol,
luna,
estrella,
galaxia,
universo,
clima,
despejado,
nublado,
lluvia,
nieve,
viento,
trueno,
rayo,
tormenta,
cielo,
este,
oeste,
sur,
norte,
derecha,
izquierda,
diagonal,
exterior,
interior,
calor,
agua,
hielo,
vapor,
fuego,
gas,
aire,
atmósfera,
tierra,
piso,
suelo,
metal,
metálico,
hierro,
oro,
plata,
plomo,
sal,
barro,
lodo,
peso,
metro,
milímetro,
centímetro,
kilómetro,
litro,
gramo,
kilo,
cantidad,
total,
medida,
sociedad,
comunidad,
reunión,
encuentro,
estructura,
administración,
organización,
asociación,
empresa,
equipo,
autoridad,
cargo,
campaña,
club,
comisión,
congreso,
consejo,
partido
